"cod";"Materia";"cuat inicio";"cuat fin";"fecha inicio";"fecha fin";"comision";"Profesor"
"72.03";"Introducción a la Informática";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S2";"Turrin, Marcelo Emiliano"
"72.03";"Introducción a la Informática";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S2";"Buquete, Maria Alejandra"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Roldan, Juan Eduardo"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BK";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BK";"Cravino, Ana Maria"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BK";"Roldan, Juan Eduardo"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Roldan, Juan Eduardo"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Calamante, Romina"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Roldan, Juan Eduardo"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Calamante, Romina"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"H";"Diaz Leimbacher, Enrique Daniel"
"94.21";"Formación General I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"H";"Roldan, Juan Eduardo"
"72.27";"Sistemas de Inteligencia Artificial";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Gambini, Maria Juliana"
"72.27";"Sistemas de Inteligencia Artificial";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Pierri, Alan"
"72.27";"Sistemas de Inteligencia Artificial";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Ramele, Rodrigo Ezequiel"
"72.27";"Sistemas de Inteligencia Artificial";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Santos, Juan Miguel"
"81.63";"Marketing Internacional";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Fitzgerald, Magdalena"
"81.63";"Marketing Internacional";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Almada, Jorge"
"72.39";"Autómatas, Teoría de Lenguajes y Compiladores";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Ramele, Rodrigo Ezequiel"
"72.39";"Autómatas, Teoría de Lenguajes y Compiladores";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Arias Roig, Ana Maria"
"72.39";"Autómatas, Teoría de Lenguajes y Compiladores";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Santos, Juan Miguel"
"12.43";"Química II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Oyarzabal, Nicolás Andrés"
"12.43";"Química II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Rodríguez, Aníbal Adrián"
"12.43";"Química II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Ibarra, María Luján"
"61.82";"Macroeconomía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Abayu, Jorge Alejandro"
"61.82";"Macroeconomía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Orlando, Valeria Alejandra"
"61.82";"Macroeconomía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Abayu, Jorge Alejandro"
"61.82";"Macroeconomía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Orlando, Valeria Alejandra"
"16.13";"Biomecánica";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BIO";"Carbonell, Pablo Raul"
"16.13";"Biomecánica";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BIO";"Wray, Sandra Alicia"
"81.07";"Sistemas Contables";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Guffanti, German Enrique"
"81.07";"Sistemas Contables";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Pena, Lucas Ezequiel"
"22.53";"Tecnología de Materiales Electrónicos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Aguirre, Miguel Pablo"
"30.07";"Elementos Finitos I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"JIN, MANUEL MATÍAS"
"30.07";"Elementos Finitos I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"D´hers, Sebastian"
"30.07";"Elementos Finitos I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Pontelli, Nicolas"
"93.42";"Física II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Hugo Alberto, Aita"
"93.42";"Física II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"König, Pablo Germán"
